DATE,EXCHUS
2010-01-01,6.8269
2010-02-01,6.8285
2010-03-01,6.8262
2010-04-01,6.8256
2010-05-01,6.8275
2010-06-01,6.8184
2010-07-01,6.7762
2010-08-01,6.7873
2010-09-01,6.7396
2010-10-01,6.6678
2010-11-01,6.6538
2010-12-01,6.6497
2011-01-01,6.5964
2011-02-01,6.5761
2011-03-01,6.5645
2011-04-01,6.5267
2011-05-01,6.4957
2011-06-01,6.4746
2011-07-01,6.4575
2011-08-01,6.4036
2011-09-01,6.3885
2011-10-01,6.3710
2011-11-01,6.3564
2011-12-01,6.3482
2012-01-01,6.3172
2012-02-01,6.2997
2012-03-01,6.3125
2012-04-01,6.3043
2012-05-01,6.3242
2012-06-01,6.3633
2012-07-01,6.3717
2012-08-01,6.3593
2012-09-01,6.3200
2012-10-01,6.2627
2012-11-01,6.2338
2012-12-01,6.2328
2013-01-01,6.2215
2013-02-01,6.2323
2013-03-01,6.2154
2013-04-01,6.1861
2013-05-01,6.1416
2013-06-01,6.1342
2013-07-01,6.1343
2013-08-01,6.1213
2013-09-01,6.1198
2013-10-01,6.1032
2013-11-01,6.0929
2013-12-01,6.0738
2014-01-01,6.0509
2014-02-01,6.0816
2014-03-01,6.1729
2014-04-01,6.2246
2014-05-01,6.2380
2014-06-01,6.2306
2014-07-01,6.1984
2014-08-01,6.1541
2014-09-01,6.1382
2014-10-01,6.1251
2014-11-01,6.1249
2014-12-01,6.1886
2015-01-01,6.2181
2015-02-01,6.2518
2015-03-01,6.2386
2015-04-01,6.2010
2015-05-01,6.2035
2015-06-01,6.2052
2015-07-01,6.2085
2015-08-01,6.3383
2015-09-01,6.3676
2015-10-01,6.3505
2015-11-01,6.3640
2015-12-01,6.4491
2016-01-01,6.5726
2016-02-01,6.5501
2016-03-01,6.5027
2016-04-01,6.4754
2016-05-01,6.5259
2016-06-01,6.5892
2016-07-01,6.6771
2016-08-01,6.6466
2016-09-01,6.6702
2016-10-01,6.7303
2016-11-01,6.8402
2016-12-01,6.9198
2017-01-01,6.8907
2017-02-01,6.8694
2017-03-01,6.8940
2017-04-01,6.8876
2017-05-01,6.8843
2017-06-01,6.8066
2017-07-01,6.7694
2017-08-01,6.667
2017-09-01,6.569
2017-10-01,6.6254
2017-11-01,6.62
2017-12-01,6.5932
2018-01-01,6.4233
2018-02-01,6.3183
2018-03-01,6.3174
2018-04-01,6.2967
2018-05-01,6.3701
2018-06-01,6.4651
2018-07-01,6.7164
2018-08-01,6.8453
2018-09-01,6.8551
2018-10-01,6.9191
2018-11-01,6.9367
2018-12-01,6.8837
2019-01-01,6.7863
2019-02-01,6.7367
2019-03-01,6.7119
2019-04-01,6.7161
2019-05-01,6.8398
